Trans. Date,Post Date,Description,Amount,Category
10/26/2018,10/26/2018,"ALDI 46095 OLATHE KS",38.54,"Supermarkets"
10/26/2018,10/26/2018,"ARBOR CREEK ACE HDWE OLATHE KS",27.31,"Home Improvement"
10/26/2018,10/26/2018,"GOODWILL OVERLAND PARK OVERLAND PARKKS",23.00,"Merchandise"
10/26/2018,10/26/2018,"HY VEE 1463 OLATHE KS",19.64,"Supermarkets"
10/26/2018,10/26/2018,"JOHNSON FARMS PLANTS BELTON MO",74.24,"Services"
10/26/2018,10/26/2018,"LAMARS DONUTS KU OVERLAND PARKKS",7.61,"Restaurants"
10/26/2018,10/26/2018,"LAMARS DONUTS KU OVERLAND PARKKS",13.75,"Restaurants"
10/26/2018,10/26/2018,"SHOWTIME TRANSPORTATION KANSAS CITY MO",76.00,"Services"
10/26/2018,10/26/2018,"SQ *REVOCUP SOUTH OVERLAND PARKKS0001152921508277409217",3.18,"Restaurants"
10/26/2018,10/26/2018,"STAR FUEL CENTERS 443 OVERLAND PARKKS",24.41,"Gasoline"
10/26/2018,10/26/2018,"TARGET OVERLAND PARKKS",59.87,"Supermarkets"
10/26/2018,10/26/2018,"TRADER JOE'S #720 QPS KANSAS CITY MO",128.22,"Supermarkets"
10/26/2018,10/26/2018,"XOOM 66 KANSAS CITY MO",40.84,"Gasoline"
10/27/2018,10/27/2018,"CHIPOTLE 0051 KANSAS CITY MO",7.61,"Restaurants"
10/27/2018,10/27/2018,"MINIT MART TA 772 OLATHE KS",17.92,"Gasoline"
10/27/2018,10/27/2018,"SQ *CROWS COFFEE PRAIRIE VILLAKS0002305843011860001336",3.43,"Supermarkets"
10/28/2018,10/28/2018,"SP * DIFF EYEWEAR 310-354-5929 CA",60.00,"Medical Services"
10/29/2018,10/29/2018,"APL*ITUNES.COM/BILL 800-275-2273 CAMSWT5YT7KKA0",9.99,"Merchandise"
10/29/2018,10/29/2018,"APL*ITUNES.COM/BILL 800-275-2273 CAMSWT5YW0WBA0",21.88,"Merchandise"
10/29/2018,10/29/2018,"GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0KM56UR",1.99,"Merchandise"
10/29/2018,10/29/2018,"SONIC DRIVE IN #3317 STANLEY KS",2.93,"Restaurants"
10/30/2018,10/30/2018,"APL*ITUNES.COM/BILL 800-275-2273 CAMSQWVQN3X6A0",0.99,"Merchandise"
10/31/2018,10/31/2018,"ALDI 46051 OVERLAND PAR KS",26.67,"Supermarkets"
10/31/2018,10/31/2018,"CVS/PHARMACY #08585 OVERLAND PARKKS",3.04,"Merchandise"
11/01/2018,11/01/2018,"ONEIL AUTOMOTIVE INC OVERLAND PARKKS",57.03,"Merchandise"
11/01/2018,11/01/2018,"PAPA MURPHY'S KS008 OVERLAND PARKKS",38.72,"Restaurants"
11/01/2018,11/01/2018,"QUEEN'S PRICE CHOPPER #6 OVERLAND PARKKS",23.33,"Supermarkets"
11/02/2018,11/02/2018,"BLACK WALNUT BISTRO HERMANN MO",91.35,"Restaurants"
11/02/2018,11/02/2018,"BREAK TIME 3016 COLUMBIA MO",2.62,"Gasoline"
11/02/2018,11/02/2018,"BREAK TIME 3016 COLUMBIA MO",35.60,"Gasoline"
11/02/2018,11/02/2018,"CHICK-FIL-A #03498 COLUMBIA MO",10.67,"Restaurants"
11/02/2018,11/02/2018,"CKE*BLACK SHIRE DIST 111 HERMANN MO",13.00,"Restaurants"
11/02/2018,11/02/2018,"CKE*HERMANNHOF WINER 330 HERMANN MO",3.00,"Restaurants"
11/02/2018,11/02/2018,"CKE*HERMANNHOF WINER 330 HERMANN MO",16.00,"Restaurants"
11/02/2018,11/02/2018,"HY VEE 1509 OVERLAND PARKKS",8.79,"Supermarkets"
11/02/2018,11/02/2018,"IPSY *GLAM BAG HELP.IPSY.COMCA005X2FUM",10.00,"Merchandise"
11/02/2018,11/02/2018,"LAMARS DONUTS KU OVERLAND PARKKS",3.81,"Restaurants"
11/02/2018,11/02/2018,"SQ *ARMINIUS HOLDINGS HERMANN MO0001152921508288434455",39.82,"Restaurants"
11/03/2018,11/03/2018,"OAKGLENN WINERY LLC HERMANN MO",18.50,"Merchandise"
11/03/2018,11/03/2018,"OLD NAVY ON-LINE 800-OLDNAVY OH",57.47,"Merchandise"
11/03/2018,11/03/2018,"SQ *ARMINIUS HOLDINGS HERMANN MO0002305843011873476292",27.02,"Restaurants"
11/03/2018,11/03/2018,"SQ *STONE HILL WINERY HERMANN MO0002305843011872116729",10.00,"Restaurants"
11/03/2018,11/03/2018,"SQ *THE VINE BOUTIQUE HERMANN MO0001152921508290115526",15.13,"Merchandise"
11/03/2018,11/03/2018,"STONE HILL RESTURANT HERMANN MO",38.27,"Restaurants"
11/03/2018,11/03/2018,"STONE HILL SALESROOM HERMANN MO",3.99,"Restaurants"
11/03/2018,11/03/2018,"TST* FERNWEH DISTILLING HERMANN MO",47.78,"Restaurants"
11/04/2018,11/04/2018,"ALDI 46051 OVERLAND PAR KS",31.13,"Supermarkets"
11/04/2018,11/04/2018,"CASEYS CONCORDIA CONCORDIA MO",20.46,"Gasoline"
11/04/2018,11/04/2018,"CASEYS GEN STORE 3436 OVERLAND PARKKS",25.14,"Gasoline"
11/04/2018,11/04/2018,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-40.03,"Awards and Rebate Credits"
11/04/2018,11/04/2018,"GAP ONLINE 800-4277895 OH",5.46,"Merchandise"
11/04/2018,11/04/2018,"INTERNET PAYMENT - THANK YOU",-2218.24,"Payments and Credits"
11/04/2018,11/04/2018,"MCDONALD'S F10311 CONCORDIA MO",8.23,"Restaurants"
11/09/2018,11/09/2018,"LAMARS DONUTS KU OVERLAND PARKKS",3.92,"Restaurants"
11/09/2018,11/09/2018,"SQ *BLACKDOG COFFEEHOU LENEXA KS0002305843011882263938",2.00,"Restaurants"
11/09/2018,11/09/2018,"SQ *BLACKDOG COFFEEHOU LENEXA KS0002305843011881979961",3.19,"Restaurants"
11/10/2018,11/10/2018,"ALDI 46051 OVERLAND PAR KS",54.98,"Supermarkets"
11/10/2018,11/10/2018,"HY VEE 1463 OLATHE KS",12.78,"Supermarkets"
11/10/2018,11/10/2018,"TARGET OVERLAND PARKKS",114.56,"Supermarkets"
11/10/2018,11/10/2018,"TRADER JOE'S #723 QPS LEAWOOD KS",98.07,"Supermarkets"
11/10/2018,11/10/2018,"TRAVEL CLEAN CAR WASH OVERLAND PARKKS",8.75,"Automotive"
11/11/2018,11/11/2018,"METCALF DISCOUNT LIQUOR OLATHE KS",42.11,"Merchandise"
11/11/2018,11/11/2018,"URBAN AIR TRAMPOLINE P OVERLAND PARKKS",13.41,"Travel/ Entertainment"
11/11/2018,11/11/2018,"WAL-MART SC - #0319 RAYMORE MO",10.90,"Supermarkets"
11/12/2018,11/12/2018,"CHICO'S/SOMA-DIRECT #080 FORT MYERS FL",48.44,"Merchandise"
11/12/2018,11/12/2018,"PANERA BREAD #202384 KANSAS CITY MO",7.54,"Restaurants"
11/12/2018,11/12/2018,"STAR FUEL CENTERS 443 OVERLAND PARKKS",40.13,"Gasoline"
11/12/2018,11/12/2018,"UMKC EINSTE23083637579 KANSAS CITY MO",2.53,"Restaurants"
11/13/2018,11/13/2018,"BBX*BIRCHBOX INC 877-487-7272 NYBBX*BIRCHBOX INC",10.00,"Merchandise"
11/13/2018,11/13/2018,"HY VEE 1463 OLATHE KS",21.90,"Supermarkets"
11/13/2018,11/13/2018,"INTERNET PAYMENT - THANK YOU",-698.99,"Payments and Credits"
11/14/2018,11/14/2018,"APL* ITUNES.COM/BILL 866-712-7753 CAMSQX2TG5DBA0",17.51,"Merchandise"
11/14/2018,11/14/2018,"STAR FUEL CENTERS 443 OVERLAND PARKKS",23.65,"Gasoline"
11/14/2018,11/14/2018,"UMKC EINSTE23083637579 KANSAS CITY MO",2.53,"Restaurants"
11/14/2018,11/14/2018,"WAL-MART SC - #3273 OVERLAND PARKKS",41.09,"Supermarkets"
11/15/2018,11/17/2018,"WAL-MART SC - #0577 OLATHE KS",31.79,"Supermarkets"
11/16/2018,11/17/2018,"LAMARS DONUTS KU OVERLAND PARKKS",5.33,"Restaurants"
11/16/2018,11/17/2018,"SAWASDEE THAI CUISINE OVERLAND PARKKS",14.00,"Restaurants"
11/17/2018,11/17/2018,"AMAZON.COM*M87R46RV1 AMZN.COM/BILLWA28UAEN826N8",35.02,"Merchandise"
11/17/2018,11/17/2018,"SEPHORA 924 LEAWOOD KS09240003085061",22.26,"Merchandise"
11/19/2018,11/19/2018,"MCDONALD'S F19725 OLATHE KS",2.82,"Restaurants"
11/19/2018,11/19/2018,"SAWASDEE THAI CUISINE OVERLAND PARKKS",21.46,"Restaurants"
11/19/2018,11/19/2018,"TRAVEL CLEAN CAR WASH OVERLAND PARKKS",8.75,"Automotive"
11/20/2018,11/20/2018,"APL*ITUNES.COM/BILL 800-275-2273 CAMSWVH12KW5A0",9.99,"Merchandise"
11/20/2018,11/20/2018,"FAST SNACK PACK 1 OLATHE KS",34.82,"Gasoline"
11/20/2018,11/20/2018,"HOULIHANS #169 OLATHE KS",21.20,"Restaurants"
11/20/2018,11/20/2018,"METCALF DISCOUNT LIQUOR OLATHE KS",42.11,"Merchandise"
11/20/2018,11/20/2018,"SQ *BEAUTYCOUNTER GOSQ.COM CA0001152921508314583521",183.31,"Services"
11/20/2018,11/20/2018,"SQ *BLACKDOG COFFEEHOU LENEXA KS0002305843011899470063",3.19,"Restaurants"
11/20/2018,11/20/2018,"WAL-MART SC - #0577 OLATHE KS",73.83,"Supermarkets"
11/21/2018,11/21/2018,"A EAGLE OUT00006593919 OTTAWA KS",27.62,"Merchandise"
11/21/2018,11/21/2018,"ALDI 46051 OVERLAND PAR KSCASHOVER $ 10.00 PURCHASES $ 50.54",60.54,"Supermarkets"
11/21/2018,11/21/2018,"CVS/PHARMACY #08585 OVERLAND PARKKS",18.42,"Merchandise"
11/21/2018,11/21/2018,"HOBBY-LOBBY #0020 OVERLAND PARKKS",106.09,"Merchandise"
11/21/2018,11/21/2018,"HY VEE 1463 OLATHE KS",25.31,"Supermarkets"
11/21/2018,11/21/2018,"LUKAS WINE AND SPIRITS OVERLAND PARKKS",39.38,"Merchandise"
11/21/2018,11/21/2018,"NIKE.COM 800-806-6453 OR",65.64,"Merchandise"
11/21/2018,11/21/2018,"NORDSTROM RACK #0248 LENEXA KS",124.56,"Department Stores"
11/22/2018,11/22/2018,"AMZN MKTP US*M00EK3FD0 AMZN.COM/BILLWADU8F47T6M6J",29.82,"Merchandise"
11/22/2018,11/22/2018,"CARTER'S #487 LENEXA KS",7.49,"Merchandise"
11/22/2018,11/22/2018,"HAUTLK RACK8885478438 888-547-8438 CA",44.45,"Department Stores"
11/22/2018,11/22/2018,"MICHAELS STORES 2713 OVERLAND PARKKS2713000669081811221840",38.18,"Merchandise"
11/22/2018,11/22/2018,"ULTA #643 OVERLAND PARKKS",124.86,"Merchandise"
11/22/2018,11/22/2018,"WAL-MART SC - #1599 OVERLAND PARKKS",54.55,"Supermarkets"
11/23/2018,11/23/2018,"BIERMAN'S CHRISTMAS TREE KANSAS CITY KS",8.18,"Services"
11/23/2018,11/23/2018,"BIERMAN'S CHRISTMAS TREE KANSAS CITY KS",92.77,"Services"
11/23/2018,11/23/2018,"HOBBY-LOBBY #0020 OVERLAND PARKKS",24.48,"Merchandise"
11/23/2018,11/23/2018,"KOHL'S #0231 OLATHE KS",82.11,"Department Stores"
11/23/2018,11/23/2018,"QT 242 LENEXA KS",12.26,"Gasoline"
11/23/2018,11/23/2018,"TRADER JOE'S #723 QPS LEAWOOD KS",66.57,"Supermarkets"
11/24/2018,11/24/2018,"AMZN MKTP US*M01MR9351 AMZN.COM/BILLWA47N7LP5V2Y9",12.12,"Merchandise"
11/24/2018,11/24/2018,"APL*ITUNES.COM/BILL 800-275-2273 CAMSQY08HY89A0",0.99,"Merchandise"
11/24/2018,11/24/2018,"ATHLETA ONLINE 877-328-4538 OH",37.20,"Merchandise"
11/24/2018,11/24/2018,"TARGET KANSAS CITY MO",33.83,"Supermarkets"
11/24/2018,11/24/2018,"TARGET.COM * 800-591-3869 MN",76.62,"Merchandise"
11/25/2018,11/25/2018,"AMZN MKTP US*M06ZK2JD1 AMZN.COM/BILLWA4SDHZKVBXUQ",24.95,"Merchandise"
11/25/2018,11/25/2018,"CASEYS OLATHE OLATHE KS",22.11,"Gasoline"
11/25/2018,11/25/2018,"HY VEE 1463 OLATHE KS",19.21,"Supermarkets"
11/25/2018,11/25/2018,"URBAN AIR TRAMPOLINE P OVERLAND PARKKS",12.01,"Travel/ Entertainment"
11/25/2018,11/25/2018,"URBAN AIR TRAMPOLINE P OVERLAND PARKKS",21.36,"Travel/ Entertainment"
11/26/2018,11/26/2018,"MINSKY'S PIZZA OVERLAND PARKKS",14.02,"Restaurants"
11/26/2018,11/26/2018,"WALMART.COM 800-966-6546 ARWI65LTZG68Z6",302.11,"Merchandise"
11/27/2018,11/27/2018,"AMAZON.COM*M01GR1322 AMZN.COM/BILLWA1D0EUOZ9781",33.67,"Merchandise"
11/27/2018,11/27/2018,"AMZN MKTP US*M01OD03R2 AMZN.COM/BILLWAZXUCQFM1WAH",11.84,"Merchandise"
11/27/2018,11/27/2018,"J CREW FACTORY.COM 212-209-2500 VA",41.27,"Merchandise"
11/28/2018,11/28/2018,"ATHLETA ONLINE 877-328-4538 OH",29.12,"Merchandise"
11/28/2018,11/28/2018,"LAMARS DONUTS 01 OVERLAND PARKKS",13.75,"Restaurants"
11/28/2018,11/28/2018,"UMKC EINSTE23083637579 KANSAS CITY MO",2.53,"Restaurants"
11/29/2018,11/29/2018,"BATH & BODY WORKS 3130 LEAWOOD KS",31.42,"Merchandise"
11/29/2018,11/29/2018,"BURGERFI-LEAWOOD LEAWOOD KS",29.67,"Restaurants"
11/29/2018,11/29/2018,"GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0LBZD75",1.99,"Merchandise"
11/29/2018,11/29/2018,"J CREW 800-562-0258 VA",7.64,"Merchandise"
11/30/2018,11/30/2018,"ADDIE ROSE BOUTIQUE OVERLAND PARKKS",21.82,"Merchandise"
11/30/2018,11/30/2018,"BP#9497686KC PRIME DBA J OVERLAND PARKKS",33.00,"Gasoline"
11/30/2018,11/30/2018,"LAMARS DONUTS KU OVERLAND PARKKS",2.92,"Restaurants"
11/30/2018,11/30/2018,"SP * TEAELLA LEAWOOD KS",43.64,"Merchandise"
12/01/2018,12/01/2018,"ALDI 46051 OVERLAND PAR KS",62.94,"Supermarkets"
12/01/2018,12/01/2018,"BATH & BODY WORKS 3130 LEAWOOD KS",29.29,"Merchandise"
12/01/2018,12/01/2018,"BATSON STANLEY LIQUORS L OVERLAND PARKKS",16.71,"Merchandise"
12/01/2018,12/01/2018,"BBX*BIRCHBOX INC 877-487-7272 NYBBX*BIRCHBOX INC",10.00,"Merchandise"
12/01/2018,12/01/2018,"GAP US 1212 LEAWOOD KS00116R",67.14,"Merchandise"
12/01/2018,12/01/2018,"IPSY *GLAM BAG HELP.IPSY.COMCA00623I68",10.00,"Merchandise"
12/01/2018,12/01/2018,"PRIDE CLEANERS #47 OVERLAND PARKKS",30.79,"Services"
12/01/2018,12/01/2018,"TARGET OVERLAND PARKKS",9.58,"Supermarkets"
12/01/2018,12/01/2018,"THE OLIVER KANSAS CITY MO",9.23,"Restaurants"
12/01/2018,12/01/2018,"THE OLIVER KANSAS CITY MO",41.67,"Restaurants"
12/01/2018,12/01/2018,"THE OLIVER KANSAS CITY MO",56.50,"Restaurants"
12/01/2018,12/01/2018,"TRADER JOE'S #723 QPS LEAWOOD KS",39.77,"Supermarkets"
12/02/2018,12/02/2018,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-57.87,"Awards and Rebate Credits"
12/02/2018,12/02/2018,"HY VEE 1463 OLATHE KS",6.95,"Supermarkets"
12/02/2018,12/02/2018,"INTERNET PAYMENT - THANK YOU",-2671.20,"Payments and Credits"
12/02/2018,12/02/2018,"TARGET OLATHE KS",119.16,"Supermarkets"
12/03/2018,12/03/2018,"CASEYS OLATHE OLATHE KS",19.24,"Gasoline"
12/03/2018,12/03/2018,"CHIPOTLE 0051 KANSAS CITY MO",7.61,"Restaurants"
12/03/2018,12/03/2018,"SQ *BLACKDOG COFFEEHOU LENEXA KS0002305843011919584822",3.19,"Restaurants"
12/03/2018,12/03/2018,"SQ *CROWS COFFEE PRAIRIE VILLAKS0002305843011920041326",3.10,"Supermarkets"
12/03/2018,12/03/2018,"TRAVEL CLEAN CAR WASH OVERLAND PARKKS",8.75,"Automotive"
12/03/2018,12/03/2018,"USPS PO 1983570539 OVERLAND PARKKS",20.00,"Government Services"
12/03/2018,12/03/2018,"VIVID SEATS KANSAS JA 866-848-8499 IL",85.50,"Travel/ Entertainment"
12/04/2018,12/04/2018,"AMZN MKTP US*M07PO8532 AMZN.COM/BILLWA4NU7Z7ERF9S",42.44,"Merchandise"
12/04/2018,12/04/2018,"TARGET OVERLAND PARKKS",14.46,"Supermarkets"
12/05/2018,12/05/2018,"CHIPOTLE 0051 KANSAS CITY MO",7.72,"Restaurants"
12/05/2018,12/05/2018,"DOLLAR TREE OVERLAND PARKKS",27.28,"Merchandise"
12/05/2018,12/05/2018,"J CREW FACTORY.COM 212-209-2500 VA",4.27,"Merchandise"
12/05/2018,12/05/2018,"JULEP KANSAS CITY MO",16.66,"Restaurants"
12/05/2018,12/05/2018,"SONIC DRIVE IN #4375 KANSAS CITY MO",5.96,"Restaurants"
12/05/2018,12/05/2018,"SQ *CROWS COFFEE PRAIRIE VILLAKS0002305843011923157974",1.00,"Supermarkets"
12/05/2018,12/05/2018,"SQ *CROWS COFFEE PRAIRIE VILLAKS0002305843011922754059",3.43,"Supermarkets"
12/06/2018,12/06/2018,"CHICK-FIL-A #01846 OLATHE KS",10.82,"Restaurants"
12/06/2018,12/06/2018,"J CREW FACTORY.COM 212-209-2500 VA",13.10,"Merchandise"
12/06/2018,12/06/2018,"JOHNSON COUNTY LIBRARY OVERLAND PARKKS",2.40,"Government Services"
12/06/2018,12/06/2018,"SONIC DRIVE IN #3469 OLATHE KS",6.10,"Restaurants"
12/07/2018,12/07/2018,"AMZN MKTP US*M07YI2QZ2 AMZN.COM/BILLWA62O89T5LPBA",8.75,"Merchandise"
12/07/2018,12/07/2018,"ARTS & RECREATION FOUN OVERLAND PARKKS",20.00,"Services"
12/07/2018,12/07/2018,"JOSE PEPPERS OVERLAND PARKKS",30.06,"Restaurants"
12/07/2018,12/07/2018,"LAMARS DONUTS KU OVERLAND PARKKS",3.92,"Restaurants"
12/07/2018,12/07/2018,"WWW.KOHLS.COM #0873 MIDDLETOWN OH",33.70,"Department Stores"
12/08/2018,12/08/2018,"ALDI 46051 OVERLAND PAR KS",78.26,"Supermarkets"
12/08/2018,12/08/2018,"AMZN MKTP US*M06TX67M1 AMZN.COM/BILLWAC1SJT4C5LVW",9.93,"Merchandise"
12/08/2018,12/08/2018,"ARBOR CREEK ACE HDWE OLATHE KS",8.31,"Home Improvement"
12/08/2018,12/08/2018,"DPJ*HARVESTERS KANSAS CITY MO",10.00,"Services"
12/08/2018,12/08/2018,"DPJ*HARVESTERS KANSAS CITY MO",10.00,"Services"
12/08/2018,12/08/2018,"DPJ*HARVESTERS KANSAS CITY MO",10.00,"Services"
12/08/2018,12/08/2018,"J CREW FACTORY.COM 212-209-2500 VA",4.27,"Merchandise"
12/08/2018,12/08/2018,"JOANN STORES #1926 OVERLAND PARKKS",51.18,"Merchandise"
12/08/2018,12/08/2018,"METCALF DISCOUNT LIQUOR OLATHE KS",10.79,"Merchandise"
12/08/2018,12/08/2018,"TARGET.COM * 800-591-3869 MN",18.00,"Merchandise"
12/08/2018,12/08/2018,"TARGET.COM * 800-591-3869 MN",22.50,"Merchandise"
12/09/2018,12/09/2018,"AMC TOWN CENTER 20 #0038 LEAWOOD KS",22.23,"Travel/ Entertainment"
12/09/2018,12/09/2018,"AMC TOWN CENTER 20 #0038 LEAWOOD KS",41.42,"Travel/ Entertainment"
12/09/2018,12/09/2018,"DILLARDS 322 OAK PARK OVERLAND PARKKS2018120903220004800002",186.32,"Department Stores"
12/09/2018,12/09/2018,"INDOOR ENTERTAINMENT OF OVERLAND PARKKS",5.00,"Travel/ Entertainment"
12/09/2018,12/09/2018,"PETSMART # 0237 OVERLAND PARKKS",84.01,"Merchandise"
12/09/2018,12/09/2018,"TARGET OVERLAND PARKKS",22.76,"Supermarkets"
12/10/2018,12/10/2018,"AMZN MKTP US*M03BH4UO0 AMZN.COM/BILLWA26QT8NW0CP3",35.47,"Merchandise"
12/10/2018,12/10/2018,"CHATBOOKS 855-424-2825 UT",104.80,"Merchandise"
12/10/2018,12/10/2018,"QT 248 INDEPENDENCE MO",26.54,"Gasoline"
12/11/2018,12/11/2018,"FRIENDS LIQUOR OVERLAND PARKKS",15.22,"Merchandise"
12/11/2018,12/11/2018,"WAL-MART SC - #3273 OVERLAND PARKKS",63.42,"Supermarkets"
12/12/2018,12/12/2018,"AMZN MKTP US*M25277O71 AMZN.COM/BILLWA5ARTYO90ONC",11.99,"Merchandise"
12/12/2018,12/12/2018,"APEX ENDODONTICS, PA OVERLAND PARKKS",239.10,"Medical Services"
12/12/2018,12/12/2018,"SAWASDEE THAI CUISINE OVERLAND PARKKS",11.73,"Restaurants"
12/12/2018,12/12/2018,"STAR FUEL CENTERS 443 OVERLAND PARKKS",21.20,"Gasoline"
12/12/2018,12/12/2018,"TARGET.COM * 800-591-3869 MN",34.46,"Merchandise"
12/13/2018,12/13/2018,"FATBRAIN TOYS 800-590-5987 NE",52.97,"Merchandise"
12/13/2018,12/13/2018,"PARTY CITY 938 OVERLAND PARKKS01315R",21.21,"Merchandise"
12/13/2018,12/13/2018,"STARBUCKS STORE 13646 OVERLAND PARKKS016P34FPST04721642",7.20,"Restaurants"
12/14/2018,12/14/2018,"APL* ITUNES.COM/BILL 866-712-7753 CAMSQYBN3B23A1",17.51,"Merchandise"
12/14/2018,12/14/2018,"INTERNET PAYMENT - THANK YOU",-2197.64,"Payments and Credits"
12/14/2018,12/14/2018,"LAMARS DONUTS KU OVERLAND PARKKS",3.81,"Restaurants"
12/14/2018,12/14/2018,"SHOWTIME TRANSPORTATION KANSAS CITY MO",304.00,"Services"
12/15/2018,12/15/2018,"ANNTAYLOR LOFT.COM #612 800-342-5266 CT",38.12,"Merchandise"
12/15/2018,12/15/2018,"TARGET OVERLAND PARKKS",11.79,"Supermarkets"
12/15/2018,12/17/2018,"ALDI 46051 OVERLAND PAR KS",68.86,"Supermarkets"
12/15/2018,12/17/2018,"EMLER SWIM SCHOOL CP BEDFORD TX",811.00,"Education"
12/15/2018,12/17/2018,"IKEA MERRIAM MERRIAM KS",36.71,"Merchandise"
12/15/2018,12/17/2018,"SCHEELS OVERLAND PARK OVERLAND PARKKS",1.87,"Merchandise"
12/15/2018,12/17/2018,"SCHEELS OVERLAND PARK OVERLAND PARKKS",118.34,"Merchandise"
12/15/2018,12/17/2018,"TRADER JOE'S #723 QPS LEAWOOD KS",26.63,"Supermarkets"
12/16/2018,12/17/2018,"5GUYS 0474 QSR KANSAS CITY KS",17.18,"Restaurants"
12/16/2018,12/17/2018,"ADIDAS 6162 KANSAS CITY KS",71.96,"Merchandise"
